Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
1500023-84.2019.8.26.0104,Furto Simples,Cafelândia,Vara Única,Dr. Octavio Santos Antunes,365,425,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,N/A,Não,Não,Não convertida
1500023-94.2022.8.26.0390,Furto Simples,Nova Granada,Vara Única,SENIVALDO DOS REIS JUNIOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500024-76.2022.8.26.0585,Furto Simples,Presidente Venceslau,1ª Vara,GABRIEL MEDEIROS,575,695,Sim,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,N/A,Não,Sim,Convertida
1500027-20.2022.8.26.0136,Furto Simples,Cerqueira César,1ª Vara,LEONARDO LABRIOLA FERREIRA MENINO,425,658,Sim,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Diferente da base,Não,Sim,Não convertida
1500027-33.2022.8.26.0358,Furto Simples,Mirassol,1ª Vara,MARCOS VINICIUS KRAUSE BIERHALZ,540,630,Sim,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Diferente da base,Não,Não,Não convertida
1500027-46.2020.8.26.0441,Furto Simples,Peruíbe,2ª Vara,CARLOS GUILHERME ROMA FELICIANO,730,730,Sim,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,N/A,Não,Não,Não convertida
1500030-59.2022.8.26.0205,Furto Simples,Getulina,Vara Única,LUIS FERNANDO VIAN,425,565,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Sim,Não convertida
1500030-97.2021.8.26.0333,Furto Simples,Macatuba,Vara Única,BÁRBARA GALVÃO SIMÕES DE CAMARGO,375,375,Sim,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Não,Convertida
1500033-77.2019.8.26.0315,Furto Simples,Laranjal Paulista,1ª Vara,ELIANE CRISTINA CINTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500034-15.2022.8.26.0038,Furto Simples,Araras,Vara Criminal,Dr(a). Rodrigo Peres Servidone Nagase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
